image,IoU_Humano_IA_E3,IoU_Humano_IA_E6,IoU_Humano_IA_E7,IoU_IA_E3_IA_E6,IoU_IA_E3_IA_E7,IoU_IA_E6_IA_E7
NoF_UR_001.jpg,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_002.jpg,0.0,0.0,0.0,1.0,1.0,1.0
NoF_UR_003.jpg,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_004.jpg,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_005.jpg,0.0,0.0,0.0,1.0,1.0,1.0
NoF_UR_006.jpg,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_007.jpg,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_008.jpg,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_009.jpg,1.0,1.0,1.0,1.0,1.0,1.0
SHF_001.jpg,0.0837,0.0897,0.0789,0.915,0.9268,0.9456
SHF_002.jpg,0.3496,0.368,0.3992,0.92,0.8663,0.9253
SHF_003.jpg,1.0,0.0,0.0,0.0,0.0,0.9147
SHF_004.jpg,0.0918,0.052,0.053,0.866,0.8988,0.9344
SHF_005.jpg,0.1285,0.1365,0.1386,0.9167,0.9097,0.9796
SHF_006.jpg,0.1486,0.1473,0.1515,0.8961,0.969,0.9234
SHF_007.jpg,0.1356,0.1424,0.1377,0.8286,0.8929,0.8491
SHF_008.jpg,0.2375,0.2287,0.4749,0.8584,0.4546,0.4661
SHF_009.jpg,0.2766,0.2894,0.295,0.9558,0.9378,0.9599
SHF_010.jpg,0.1038,0.1172,0.1268,0.8857,0.8181,0.9237
SHF_011.jpg,0.4754,0.4048,0.4322,0.8452,0.8497,0.9261
SHF_012.jpg,0.0134,0.0257,0.0241,0.871,0.8697,0.957
SHF_013.jpg,0.0,0.0,0.0,0.9551,0.9394,0.9475
SHF_014.jpg,0.8841,0.8483,0.8602,0.9302,0.9558,0.9371
SHF_015.jpg,0.0,0.0,0.0,0.8789,0.8794,0.9591
SHF_016.jpg,0.0,0.0,0.0,0.8485,0.8831,0.9608
SHF_017.jpg,0.5757,0.6046,0.6064,0.8641,0.8963,0.9543
SHF_018.jpg,0.0752,0.0836,0.0847,0.8992,0.8908,0.9401
SHF_019.jpg,0.0,0.0,0.0,0.8901,0.8998,0.8873
SHF_020.jpg,0.097,0.0937,0.0985,0.8487,0.8525,0.8836
SHF_021.jpg,0.0134,0.0229,0.0152,0.9309,0.9324,0.9058
SHF_022.jpg,0.2478,0.2925,0.2394,0.8345,0.8784,0.754
SHF_023.jpg,0.0,0.0,0.0,0.9299,0.9608,0.9245
SHF_024.jpg,0.0964,0.0955,0.1028,0.9325,0.8855,0.8807
SHF_025.jpg,0.3544,0.3519,0.36,0.9713,0.9293,0.9538
SHF_026.jpg,0.0807,0.0909,0.0961,0.887,0.8391,0.946
UR_001.jpg,0.0,0.0,1.0,0.4286,0.0,0.0
UR_002.png,0.0,0.0,0.0,0.8999,0.6743,0.7458
UR_003.png,0.0,0.0,0.0,0.9042,0.5699,0.6
UR_004.png,0.3107,0.3001,0.2723,0.9644,0.8766,0.9074
UR_005.png,0.211,0.1963,0.3161,0.8832,0.3801,0.4038
UR_006.png,0.4734,0.451,0.423,0.9041,0.8638,0.8843
UR_007.png,0.0,0.0,0.0,0.0,0.9109,0.0
UR_008.png,0.0,0.0,0.0,0.7411,0.7946,0.5888
UR_009.png,1.0,0.0,0.0,0.0,0.0,0.6652
UR_010.png,0.6427,0.5525,0.6385,0.8205,0.9369,0.7961
UR_011.png,0.8604,0.8562,0.7978,0.9387,0.8346,0.8376
UR_012.png,0.7798,0.7612,0.8657,0.82,0.7846,0.8383
UR_013.png,0.2127,0.2465,0.2659,0.5533,0.7991,0.6798
UR_014.png,0.7083,0.5703,0.1713,0.8052,0.2418,0.2951
UR_015.png,0.3152,0.3514,0.1692,0.8928,0.4527,0.4521
UR_016.png,0.595,0.6597,0.7138,0.8411,0.8117,0.8733
UR_017.png,0.2962,0.261,0.2819,0.8728,0.8799,0.9138
UR_018.png,0.5591,0.5173,0.5487,0.8364,0.9014,0.8901
UR_019.png,0.2986,0.2308,0.4875,0.7455,0.4081,0.469
UR_020.png,0.4462,0.3717,0.4777,0.833,0.9282,0.7781
UR_021.png,0.5283,0.3612,0.1899,0.5169,0.4405,0.2823
UR_022.png,0.4515,0.4176,0.489,0.8852,0.8438,0.8196
UR_023.png,0.5308,0.6054,0.5367,0.8405,0.8881,0.8155
UR_024.png,1.0,1.0,1.0,1.0,1.0,1.0
UR_025.png,0.2466,0.2314,0.0,0.8823,0.0,0.0
UR_026.png,0.3834,0.405,0.4287,0.8331,0.8025,0.803
UR_027.png,0.6102,0.6129,0.5983,0.8864,0.8834,0.8971
UR_028.png,0.1431,0.1026,0.2134,0.3546,0.3779,0.4237
UR_029.png,0.0,0.0,0.0,0.7377,0.7492,0.823
UR_030.png,1.0,1.0,1.0,1.0,1.0,1.0
UR_031.png,0.0,0.0,0.0,1.0,1.0,1.0
UR_032.png,1.0,1.0,1.0,1.0,1.0,1.0
UR_033.png,0.4619,0.4175,0.4653,0.8723,0.9097,0.8551
UR_034.png,1.0,1.0,1.0,1.0,1.0,1.0
UR_035.png,0.2782,0.339,0.0,0.8196,0.0,0.0
UR_036.png,0.0,0.4059,0.0,0.0,0.0,0.0
WRI_001.png,0.0,0.0,0.0,0.7977,0.4762,0.3967
WRI_002.png,0.0,0.0,0.0,1.0,1.0,1.0
WRI_003.png,0.3545,0.0,0.0,0.0,0.0,1.0
WRI_004.png,0.4113,0.435,0.4582,0.8677,0.821,0.9071
WRI_005.png,0.1011,0.1087,0.1049,0.8946,0.8618,0.878
WRI_006.png,0.0,0.0,0.0,1.0,1.0,1.0
WRI_007.png,0.0,0.0,0.0,0.9152,0.6332,0.6364
WRI_008.png,0.0,0.0,0.0,0.9021,0.8195,0.8204
WRI_009.png,0.0522,0.0,0.0,0.0,0.0,1.0
WRI_010.png,1.0,1.0,1.0,1.0,1.0,1.0
WRI_011.png,1.0,1.0,1.0,1.0,1.0,1.0
WRI_012.png,0.3101,0.262,0.2834,0.8375,0.8454,0.894
WRI_013.png,0.3985,0.4103,0.4383,0.808,0.8272,0.8014
WRI_014.png,0.5502,0.5351,0.4762,0.7629,0.6822,0.8849
WRI_015.png,0.1419,0.3674,0.3384,0.368,0.4192,0.854
WRI_016.png,0.0,0.0107,0.0066,0.7396,0.7873,0.8913
WRI_017.png,0.4778,0.5023,0.5008,0.872,0.8324,0.8538
WRI_018.png,0.0,0.0,0.0,0.0,0.7592,0.0
WRI_019.png,0.0,0.0,0.0,0.9137,0.7831,0.8443
WRI_020.png,0.0,0.0,0.0,0.7818,0.7135,0.8698
WRI_021.png,0.5008,0.4653,0.3579,0.6766,0.5515,0.4965
WRI_022.png,0.0,0.0,0.0,1.0,1.0,1.0
WRI_023.png,1.0,1.0,1.0,1.0,1.0,1.0
WRI_024.png,0.4252,0.4037,0.2236,0.9369,0.4651,0.4469
WRI_025.png,0.4753,0.5056,0.1673,0.8986,0.4029,0.4169
WRI_026.png,0.189,0.2139,0.2166,0.8613,0.8604,0.9026
WRI_027.png,0.0,0.0,0.0,0.0,0.0,0.934
WRI_028.png,0.1297,0.1191,0.1253,0.8988,0.8782,0.8817
WRI_029.png,1.0,1.0,1.0,1.0,1.0,1.0
WRI_030.png,0.2271,0.2242,0.2172,0.9357,0.8866,0.8756
